frame,tiempo_seg,id,cx,cy,velocidad_px_frame,area_px2
45,31.455,0,28,246,0.0,984.2
109,33.588,1,559,240,0.0,1803.7
110,33.621,1,561,240,2.0,1794.2
111,33.654,1,561,241,1.0,1783.4
112,33.688,1,560,240,1.41,1798.0
116,33.821,1,518,240,42.0,1899.0
117,33.854,1,519,240,1.0,1882.4
118,33.888,1,520,241,1.41,1888.0
121,33.988,1,482,247,38.47,1634.4
122,34.021,1,478,251,5.66,1846.9
123,34.054,1,479,251,1.0,1866.6
124,34.088,1,480,251,1.0,1894.1
125,34.121,1,481,252,1.41,1801.4
128,34.221,1,425,258,56.32,1825.7
129,34.254,1,424,259,1.41,1903.6
130,34.288,1,424,259,0.0,1909.8
131,34.321,1,425,259,1.0,1864.0
132,34.354,1,418,261,7.28,1605.0
133,34.387,1,397,263,21.1,1722.6
134,34.421,1,384,264,13.04,1841.1
135,34.454,1,384,265,1.0,1894.2
136,34.487,1,385,265,1.0,1894.0
137,34.521,1,385,265,0.0,1869.2
138,34.554,1,383,266,2.24,1774.4
139,34.587,1,366,268,17.12,1847.8
140,34.621,1,348,274,18.97,1717.1
141,34.654,1,337,279,12.08,1942.9
142,34.687,1,337,279,0.0,1936.3
143,34.721,1,337,279,0.0,1928.5
144,34.754,1,336,279,1.0,1875.3
145,34.787,1,324,279,12.0,1747.1
146,34.821,1,304,275,20.4,1721.4
147,34.854,1,289,274,15.03,1897.9
148,34.887,1,289,274,0.0,1945.1
149,34.921,1,289,274,0.0,1950.7
150,34.954,1,289,274,0.0,1953.0
151,34.987,1,285,275,4.12,1855.3
153,35.054,1,241,275,44.0,1811.9
154,35.087,1,236,277,5.39,1916.4
155,35.121,1,237,277,1.0,1920.4
156,35.154,1,238,278,1.41,1970.5
157,35.187,1,238,278,0.0,1899.9
158,35.221,1,227,279,11.05,1692.2
159,35.254,1,207,280,20.02,1444.0
160,35.287,1,193,279,14.04,1870.1
161,35.32,1,193,278,1.0,1924.1
162,35.354,1,193,278,0.0,1888.1
163,35.387,1,194,278,1.0,1869.6
164,35.42,1,190,278,4.0,1680.0
165,35.454,1,171,279,19.03,1518.2
166,35.487,1,149,277,22.09,1827.6
167,35.52,1,147,277,2.0,1934.5
168,35.554,1,147,276,1.0,1911.3
169,35.587,1,147,276,0.0,1919.4
170,35.62,1,146,277,1.41,1852.7
171,35.654,1,135,278,11.05,1808.4
172,35.687,1,125,281,10.44,1845.6
173,35.72,1,123,283,2.83,1956.1
174,35.754,1,124,283,1.0,1903.7
175,35.787,1,124,283,0.0,1954.2
176,35.82,1,124,283,0.0,1878.7
177,35.854,1,116,285,8.25,1663.4
178,35.887,1,98,286,18.03,1579.6
179,35.92,1,88,286,10.0,1879.9
180,35.954,1,89,286,1.0,1893.5
181,35.987,1,88,286,1.0,1875.7
182,36.02,1,88,286,0.0,1869.4
183,36.054,1,88,286,0.0,1841.3
184,36.087,1,81,287,7.07,1565.5
185,36.12,1,61,287,20.0,1744.0
186,36.154,1,55,289,6.32,1875.5
187,36.187,1,56,290,1.41,1852.5
188,36.22,1,56,290,0.0,1903.2
189,36.253,1,57,289,1.41,1882.6
190,36.287,1,54,290,3.16,1730.9
191,36.32,1,40,291,14.04,1679.9
192,36.353,1,30,294,10.44,1834.9
193,36.387,1,30,295,1.0,1897.6
194,36.42,1,30,295,0.0,1903.4
195,36.453,1,30,295,0.0,1903.0
196,36.487,1,30,295,0.0,1844.0
197,36.52,1,21,298,9.49,1401.3
328,40.885,2,618,221,0.0,960.0
329,40.918,2,617,224,3.16,969.1
334,41.085,2,545,226,72.03,999.0
335,41.118,2,543,231,5.39,953.3
336,41.152,2,540,235,5.0,986.2
340,41.285,2,449,236,91.01,1014.6
341,41.318,2,447,233,3.61,992.0
342,41.352,2,442,233,5.0,936.5
343,41.385,2,440,234,2.24,1019.2
347,41.518,2,355,247,85.99,1074.6
348,41.552,2,354,247,1.0,1023.0
349,41.585,2,350,247,4.0,1107.5
350,41.618,2,349,247,1.0,1043.6
353,41.718,2,273,243,76.11,1008.6
354,41.751,2,269,244,4.12,1036.5
355,41.785,2,267,244,2.0,1005.2
356,41.818,2,271,245,4.12,997.9
357,41.851,2,264,244,7.07,1066.3
360,41.951,2,183,241,81.06,999.9
361,41.985,2,177,241,6.0,968.4
362,42.018,2,169,242,8.06,1011.3
363,42.051,2,167,242,2.0,1021.2
367,42.185,2,74,231,93.65,973.9
368,42.218,2,68,228,6.71,930.5
369,42.251,2,65,226,3.61,941.5
535,47.783,3,421,266,0.0,809.4
536,47.816,3,419,267,2.24,815.8
538,47.883,3,417,265,2.83,797.1
542,48.016,3,378,264,39.01,812.1
543,48.049,3,378,264,0.0,817.2
544,48.082,3,378,264,0.0,826.2
547,48.182,3,348,262,30.07,879.9
548,48.216,3,345,263,3.16,823.6
549,48.249,3,345,262,1.0,821.4
550,48.282,3,344,263,1.41,828.6
551,48.316,3,345,263,1.0,820.2
552,48.349,3,343,262,2.24,836.6
553,48.382,3,341,262,2.0,833.3
554,48.416,3,338,263,3.16,816.7
555,48.449,3,341,265,3.61,834.9
556,48.482,3,341,266,1.0,872.5
557,48.516,3,340,269,3.16,880.0
558,48.549,3,343,270,3.16,871.4
561,48.649,3,297,279,46.87,880.2
562,48.682,3,294,285,6.71,817.2
563,48.716,3,288,288,6.71,869.0
564,48.749,3,288,287,1.0,813.6
568,48.882,3,255,278,34.21,878.8
774,55.746,4,605,156,0.0,2255.1
775,55.78,4,593,149,13.89,2482.2
776,55.813,4,588,148,5.1,2776.7
777,55.846,4,583,148,5.0,2737.2
778,55.88,4,578,148,5.0,3119.8
779,55.913,4,580,148,2.0,3187.8
780,55.946,4,573,148,7.0,2592.3
781,55.98,4,559,148,14.0,2098.5
782,56.013,4,557,145,3.61,2259.6
783,56.046,4,559,146,2.24,2439.0
784,56.08,4,560,146,1.0,2531.3
785,56.113,4,563,146,3.0,2606.0
786,56.146,4,565,145,2.24,2711.7
787,56.18,4,552,145,13.0,2140.8
788,56.213,4,536,142,16.28,2209.7
790,56.28,4,506,120,37.2,3073.0
791,56.313,4,496,119,10.05,3497.2
792,56.346,4,498,119,2.0,3495.3
794,56.413,4,460,128,39.05,1906.4
795,56.446,4,452,126,8.25,2476.0
796,56.479,4,450,124,2.83,2602.8
797,56.513,4,447,121,4.24,2698.2
798,56.546,4,448,119,2.24,2739.7
799,56.579,4,448,118,1.0,2707.7
800,56.613,4,441,113,8.6,2578.8
801,56.646,4,435,108,7.81,3009.6
802,56.679,4,432,104,5.0,2999.3
803,56.713,4,428,99,6.4,3008.7
804,56.746,4,426,95,4.47,3044.7
805,56.779,4,426,94,1.0,2972.5
806,56.813,4,419,92,7.28,2623.9
807,56.846,4,409,89,10.44,2635.8
808,56.879,4,411,88,2.24,2693.4
809,56.913,4,409,86,2.83,2620.7
810,56.946,4,408,87,1.41,2657.8
811,56.979,4,415,90,7.62,2897.2
812,57.013,4,418,91,3.16,3063.7
813,57.046,4,407,88,11.4,2558.5
814,57.079,4,401,86,6.32,2393.8
815,57.113,4,403,87,2.24,2772.8
816,57.146,4,404,88,1.41,2813.4
817,57.179,4,405,88,1.0,2911.7
818,57.212,4,409,89,4.12,3104.4
819,57.246,4,403,88,6.08,2817.1
820,57.279,4,395,87,8.06,2711.8
821,57.312,4,397,87,2.0,2812.2
822,57.346,4,400,88,3.16,2885.3
823,57.379,4,400,88,0.0,2939.2
824,57.412,4,402,88,2.0,3059.7
825,57.446,4,401,88,1.0,2965.3
826,57.479,4,387,87,14.04,2475.1
827,57.512,4,382,87,5.0,2464.2
828,57.546,4,383,87,1.0,2719.9
829,57.579,4,384,87,1.0,2769.2
830,57.612,4,385,88,1.41,2812.9
831,57.646,4,389,88,4.0,3044.5
832,57.679,4,383,87,6.08,2718.4
833,57.712,4,369,86,14.04,2500.3
834,57.746,4,366,85,3.16,2578.8
835,57.779,4,367,85,1.0,2719.9
836,57.812,4,367,85,0.0,2715.6
837,57.846,4,370,85,3.0,2916.0
838,57.879,4,369,85,1.0,2854.4
839,57.912,4,356,85,13.0,2577.4
840,57.946,4,349,85,7.0,2572.0
841,57.979,4,350,85,1.0,2720.4
842,58.012,4,351,85,1.0,2794.3
843,58.046,4,352,85,1.0,2872.3
844,58.079,4,358,84,6.08,2889.9
845,58.112,4,353,83,5.1,2723.9
846,58.145,4,343,82,10.05,2590.2
847,58.179,4,342,81,1.41,2704.7
848,58.212,4,344,82,2.24,2891.5
849,58.245,4,344,82,0.0,2943.3
850,58.279,4,348,82,4.0,2982.9
851,58.312,4,348,81,1.0,2815.8
852,58.345,4,335,80,13.04,2699.5
853,58.379,4,333,80,2.0,2802.3
854,58.412,4,334,80,1.0,2935.4
855,58.445,4,334,80,0.0,2936.9
856,58.479,4,335,81,1.41,2944.7
857,58.512,4,337,81,2.0,3048.2
858,58.545,4,331,80,6.08,2663.3
859,58.579,4,322,77,9.49,2472.6
860,58.612,4,322,77,0.0,2689.6
861,58.645,4,323,77,1.0,2880.3
862,58.679,4,323,77,0.0,3008.9
863,58.712,4,326,77,3.0,3123.7
864,58.745,4,325,76,1.41,2932.4
865,58.779,4,319,73,6.71,2525.1
866,58.812,4,316,72,3.16,2450.8
867,58.845,4,319,73,3.16,2729.9
868,58.879,4,319,73,0.0,2726.9
869,58.912,4,319,73,0.0,2840.0
870,58.945,4,323,75,4.47,3111.2
871,58.979,4,319,73,4.47,2755.7
872,59.012,4,311,70,8.54,2364.8
873,59.045,4,310,69,1.41,2468.3
874,59.078,4,312,70,2.24,2599.4
875,59.112,4,313,70,1.0,2673.6
876,59.145,4,318,72,5.39,2885.7
877,59.178,4,320,71,2.24,3081.0
878,59.212,4,313,70,7.07,2743.9
879,59.245,4,309,68,4.47,2746.8
880,59.278,4,311,67,2.24,2933.2
881,59.312,4,312,67,1.0,2888.0
882,59.345,4,313,67,1.0,2934.4
883,59.378,4,316,68,3.16,3086.4
884,59.412,4,312,68,4.0,2922.5
885,59.445,4,298,66,14.14,2427.3
886,59.478,4,290,64,8.25,2430.4
887,59.512,4,290,64,0.0,2607.4
888,59.545,4,290,65,1.0,2720.2
889,59.578,4,295,65,5.0,2868.4
890,59.612,4,302,66,7.07,3030.1
891,59.645,4,294,65,8.06,2635.2
892,59.678,4,288,64,6.08,2461.9
893,59.712,4,293,65,5.1,2704.1
894,59.745,4,295,65,2.0,2955.8
895,59.778,4,296,65,1.0,3040.4
896,59.812,4,300,65,4.0,3221.1
897,59.845,4,297,65,3.0,2933.8
898,59.878,4,285,64,12.04,2513.7
899,59.912,4,278,60,8.06,2624.6
900,59.945,4,277,58,2.24,2730.4
901,59.978,4,272,52,7.81,2832.1
